,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
13869,Watsonia,25 Bungay St,4,h,761000.0,S,LJ,22/04/2017,14.9,3087.0,4.0,1.0,2.0,696.0,Banyule City Council,-37.7054,145.0809,Northern Metropolitan,2329.0
13870,Watsonia,8 Castlereagh Pl,3,h,715000.0,SP,Barry,22/04/2017,14.9,3087.0,3.0,1.0,2.0,312.0,Banyule City Council,-37.7031,145.0773,Northern Metropolitan,2329.0
13871,Watsonia,5 Daours Ct,4,h,932500.0,S,Miles,22/04/2017,14.9,3087.0,4.0,2.0,2.0,585.0,Banyule City Council,-37.7154,145.0777,Northern Metropolitan,2329.0
13872,Watsonia,25 High St,3,h,895000.0,S,Barry,29/04/2017,14.9,3087.0,3.0,1.0,2.0,775.0,Banyule City Council,-37.7075,145.0807,Northern Metropolitan,2329.0
13873,West Footscray,61 Clive St,4,h,1435000.0,S,Village,6/05/2017,8.2,3012.0,4.0,2.0,2.0,523.0,Maribyrnong City Council,-37.798,144.8728,Western Metropolitan,5058.0
13874,West Footscray,4/8 Margot St,2,h,470000.0,SP,Greg,6/05/2017,8.2,3012.0,2.0,1.0,1.0,0.0,Maribyrnong City Council,-37.8088,144.8715,Western Metropolitan,5058.0
13875,West Footscray,6/350 Somerville Rd,2,h,502000.0,S,Sweeney,6/05/2017,8.2,3012.0,2.0,1.0,1.0,2701.0,Maribyrnong City Council,-37.8109,144.8684,Western Metropolitan,5058.0
13877,West Footscray,2/663 Barkly St,3,u,580000.0,SP,Jas,8/04/2017,8.2,3012.0,2.0,1.0,0.0,183.0,Maribyrnong City Council,-37.7968,144.8708,Western Metropolitan,5058.0
13878,West Footscray,4/667 Barkly St,1,u,375000.0,S,Burnham,8/04/2017,8.2,3012.0,1.0,1.0,1.0,60.0,Maribyrnong City Council,-37.7971,144.8703,Western Metropolitan,5058.0
13879,West Footscray,17 Braid St,2,h,650000.0,VB,Sweeney,8/04/2017,8.2,3012.0,2.0,1.0,1.0,452.0,Maribyrnong City Council,-37.804,144.8772,Western Metropolitan,5058.0
13880,West Footscray,17/24 Dongola Rd,3,t,815000.0,S,McGrath,8/04/2017,8.2,3012.0,3.0,1.0,2.0,203.0,Maribyrnong City Council,-37.7928,144.8811,Western Metropolitan,5058.0
13881,West Footscray,10 Neil St,4,h,970000.0,PI,Biggin,8/04/2017,8.2,3012.0,4.0,1.0,2.0,528.0,Maribyrnong City Council,-37.7969,144.8647,Western Metropolitan,5058.0
13883,West Footscray,15 Rupert St,4,h,1325000.0,S,hockingstuart,8/04/2017,8.2,3012.0,4.0,2.0,4.0,525.0,Maribyrnong City Council,-37.7994,144.8763,Western Metropolitan,5058.0
13884,West Footscray,25 Tucker St,3,h,890000.0,S,Biggin,13/05/2017,8.2,3012.0,3.0,1.0,3.0,334.0,Maribyrnong City Council,-37.7916,144.8762,Western Metropolitan,5058.0
13885,West Footscray,16 Dove St,3,h,900000.0,S,hockingstuart,20/05/2017,8.2,3012.0,3.0,1.0,0.0,218.0,Maribyrnong City Council,-37.7963,144.8801,Western Metropolitan,5058.0
13886,West Footscray,4/38 Hampton Pde,2,u,266000.0,S,Sweeney,20/05/2017,8.2,3012.0,2.0,1.0,1.0,1059.0,Maribyrnong City Council,-37.8062,144.8665,Western Metropolitan,5058.0
13887,West Footscray,16 Hope St,3,h,830000.0,PI,Burnham,20/05/2017,8.2,3012.0,3.0,1.0,0.0,370.0,Maribyrnong City Council,-37.7916,144.8715,Western Metropolitan,5058.0
13888,West Footscray,91 Suffolk St,2,h,888000.0,PI,Sweeney,20/05/2017,8.2,3012.0,2.0,1.0,2.0,401.0,Maribyrnong City Council,-37.7903,144.8703,Western Metropolitan,5058.0
13889,West Footscray,106 Summerhill Rd,3,h,1040000.0,S,Jas,20/05/2017,8.2,3012.0,3.0,1.0,1.0,330.0,Maribyrnong City Council,-37.7961,144.8815,Western Metropolitan,5058.0
13890,West Footscray,4/624 Barkly St,2,u,490000.0,S,Village,22/04/2017,8.2,3012.0,2.0,1.0,1.0,117.0,Maribyrnong City Council,-37.7968,144.8735,Western Metropolitan,5058.0
13891,West Footscray,1 Dongola Rd,3,h,935000.0,S,Jas,22/04/2017,8.2,3012.0,3.0,1.0,2.0,325.0,Maribyrnong City Council,-37.7922,144.8818,Western Metropolitan,5058.0
13892,West Footscray,14 Stanhope St,3,h,975000.0,S,Jas,22/04/2017,8.2,3012.0,3.0,1.0,0.0,318.0,Maribyrnong City Council,-37.7955,144.8713,Western Metropolitan,5058.0
13895,West Footscray,8/132 Rupert St,1,u,185000.0,PI,Jas,29/04/2017,8.2,3012.0,1.0,1.0,1.0,0.0,Maribyrnong City Council,-37.798,144.8672,Western Metropolitan,5058.0
13896,Williamstown,44 Electra St,4,h,2165000.0,SP,Greg,6/05/2017,8.0,3016.0,4.0,2.0,2.0,450.0,Hobsons Bay City Council,-37.861,144.8985,Western Metropolitan,6380.0
13897,Williamstown,8 Jobson St,3,h,1245000.0,S,hockingstuart,6/05/2017,8.0,3016.0,3.0,2.0,2.0,292.0,Hobsons Bay City Council,-37.8575,144.8922,Western Metropolitan,6380.0
13898,Williamstown,73a Victoria St,4,h,2075000.0,SP,Greg,6/05/2017,8.0,3016.0,4.0,3.0,2.0,324.0,Hobsons Bay City Council,-37.8622,144.8884,Western Metropolitan,6380.0
13899,Williamstown,2/77 Dover Rd,2,u,543000.0,S,Williams,8/04/2017,8.0,3016.0,2.0,1.0,1.0,0.0,Hobsons Bay City Council,-37.8536,144.8981,Western Metropolitan,6380.0
13900,Williamstown,8 Princes St,3,h,1150000.0,SP,Jas,8/04/2017,8.0,3016.0,3.0,1.0,0.0,308.0,Hobsons Bay City Council,-37.8526,144.895,Western Metropolitan,6380.0
13901,Williamstown,35 Railway Pl,3,h,1290000.0,S,RT,8/04/2017,8.0,3016.0,3.0,1.0,0.0,273.0,Hobsons Bay City Council,-37.8651,144.8986,Western Metropolitan,6380.0
13902,Williamstown,2/170 Cecil St,2,h,1000000.0,S,Raine,13/05/2017,8.0,3016.0,2.0,1.0,2.0,447.0,Hobsons Bay City Council,-37.8602,144.8997,Western Metropolitan,6380.0
13903,Williamstown,10 Crofton Dr,5,h,2040000.0,S,Greg,13/05/2017,8.0,3016.0,5.0,3.0,2.0,531.0,Hobsons Bay City Council,-37.8629,144.8781,Western Metropolitan,6380.0
13905,Williamstown,60 Merrett Dr,4,h,1412000.0,SP,Williams,13/05/2017,8.0,3016.0,4.0,2.0,4.0,551.0,Hobsons Bay City Council,-37.8579,144.8786,Western Metropolitan,6380.0
13906,Williamstown,8/97 Verdon St,2,u,465000.0,S,Raine,13/05/2017,8.0,3016.0,2.0,1.0,1.0,0.0,Hobsons Bay City Council,-37.8589,144.8921,Western Metropolitan,6380.0
13908,Williamstown,2/47 Power St,2,h,855000.0,S,Williams,20/05/2017,8.0,3016.0,2.0,1.0,1.0,160.0,Hobsons Bay City Council,-37.8546,144.8883,Western Metropolitan,6380.0
13909,Williamstown,12/53 Morris St,2,u,550000.0,SP,Williams,22/04/2017,8.0,3016.0,2.0,1.0,2.0,0.0,Hobsons Bay City Council,-37.8685,144.9058,Western Metropolitan,6380.0
13910,Williamstown,9/99 Verdon St,2,u,490000.0,S,Village,22/04/2017,8.0,3016.0,2.0,1.0,1.0,0.0,Hobsons Bay City Council,-37.8588,144.8919,Western Metropolitan,6380.0
13911,Williamstown,6 Caspian Tce,4,h,1200000.0,SP,Village,29/04/2017,8.0,3016.0,4.0,3.0,2.0,183.0,Hobsons Bay City Council,-37.8566,144.8737,Western Metropolitan,6380.0
13912,Williamstown,240 Coogee La,3,h,1330000.0,S,Greg,29/04/2017,8.0,3016.0,3.0,2.0,2.0,184.0,Hobsons Bay City Council,-37.8629,144.8896,Western Metropolitan,6380.0
13913,Williamstown,15 Kingshott Cl,4,h,1500000.0,VB,Greg,29/04/2017,8.0,3016.0,4.0,3.0,2.0,450.0,Hobsons Bay City Council,-37.8617,144.8786,Western Metropolitan,6380.0
13914,Williamstown,165 Osborne St,4,h,1630000.0,S,Sweeney,29/04/2017,8.0,3016.0,4.0,2.0,2.0,260.0,Hobsons Bay City Council,-37.8657,144.8942,Western Metropolitan,6380.0
13915,Yarraville,76 Castlemaine St,3,h,935000.0,S,Jas,6/05/2017,7.0,3013.0,3.0,1.0,0.0,212.0,Maribyrnong City Council,-37.8143,144.8883,Western Metropolitan,6543.0
13916,Yarraville,8 Gordon Pde,3,h,990000.0,S,Jas,6/05/2017,7.0,3013.0,3.0,1.0,2.0,340.0,Maribyrnong City Council,-37.8227,144.8827,Western Metropolitan,6543.0
13917,Yarraville,92 Simpson St,2,h,950000.0,SP,Village,6/05/2017,7.0,3013.0,2.0,1.0,0.0,94.0,Maribyrnong City Council,-37.8167,144.888,Western Metropolitan,6543.0
13918,Yarraville,15 Freame St,2,h,1196000.0,S,Greg,8/04/2017,7.0,3013.0,2.0,1.0,2.0,451.0,Maribyrnong City Council,-37.8178,144.8752,Western Metropolitan,6543.0
13919,Yarraville,1/17 Gordon Pde,2,h,470000.0,S,Sweeney,8/04/2017,7.0,3013.0,2.0,1.0,1.0,79.0,Maribyrnong City Council,-37.8226,144.8842,Western Metropolitan,6543.0
13920,Yarraville,14 Lennox St,3,h,1131500.0,SP,Jas,8/04/2017,7.0,3013.0,3.0,1.0,1.0,248.0,Maribyrnong City Council,-37.8157,144.8925,Western Metropolitan,6543.0
13922,Yarraville,54 Tongue St,4,h,2035000.0,S,Jas,8/04/2017,7.0,3013.0,4.0,2.0,0.0,607.0,Maribyrnong City Council,-37.8128,144.8905,Western Metropolitan,6543.0
13923,Yarraville,29 Wilson St,3,h,935000.0,S,Jas,8/04/2017,7.0,3013.0,3.0,1.0,0.0,198.0,Maribyrnong City Council,-37.8194,144.8914,Western Metropolitan,6543.0
13924,Yarraville,260 Francis St,3,h,892000.0,S,Village,13/05/2017,7.0,3013.0,3.0,1.0,2.0,449.0,Maribyrnong City Council,-37.8195,144.8766,Western Metropolitan,6543.0
13926,Yarraville,1 Highgate St,4,h,985500.0,S,Jas,13/05/2017,7.0,3013.0,4.0,1.0,5.0,445.0,Maribyrnong City Council,-37.8228,144.8769,Western Metropolitan,6543.0
13927,Yarraville,2/150 Hyde St,2,u,650000.0,SP,Jas,13/05/2017,7.0,3013.0,2.0,2.0,2.0,0.0,Maribyrnong City Council,-37.8161,144.8967,Western Metropolitan,6543.0
13928,Yarraville,1/6 Jepson St,3,t,1070000.0,S,Jas,13/05/2017,7.0,3013.0,3.0,2.0,2.0,257.0,Maribyrnong City Council,-37.813,144.8703,Western Metropolitan,6543.0
13929,Yarraville,10/51 Stephen St,2,u,397000.0,S,Village,13/05/2017,7.0,3013.0,2.0,1.0,1.0,0.0,Maribyrnong City Council,-37.8128,144.8953,Western Metropolitan,6543.0
13930,Yarraville,33 Bromyard St,2,h,1035000.0,S,Sweeney,20/05/2017,7.0,3013.0,2.0,1.0,3.0,469.0,Maribyrnong City Council,-37.8184,144.872,Western Metropolitan,6543.0
13931,Yarraville,26 Buninyong St,3,h,1370000.0,S,Greg,20/05/2017,7.0,3013.0,3.0,2.0,2.0,389.0,Maribyrnong City Council,-37.8181,144.8882,Western Metropolitan,6543.0
13932,Yarraville,455 Geelong Rd,2,h,650000.0,PI,Village,20/05/2017,7.0,3013.0,2.0,1.0,2.0,304.0,Maribyrnong City Council,-37.8122,144.8671,Western Metropolitan,6543.0
13933,Yarraville,96 Hamilton St,2,h,820000.0,PI,Village,20/05/2017,7.0,3013.0,2.0,1.0,0.0,211.0,Maribyrnong City Council,-37.812,144.8865,Western Metropolitan,6543.0
13934,Yarraville,292 Hyde St,3,h,750000.0,PI,McGrath,20/05/2017,7.0,3013.0,3.0,2.0,1.0,390.0,Maribyrnong City Council,-37.8227,144.8955,Western Metropolitan,6543.0
13935,Yarraville,2/10 Schild St,2,u,497600.0,SP,Jas,20/05/2017,7.0,3013.0,2.0,1.0,1.0,0.0,Maribyrnong City Council,-37.8167,144.8936,Western Metropolitan,6543.0
13936,Yarraville,183 Stephen St,3,h,970000.0,S,Raine,20/05/2017,7.0,3013.0,3.0,2.0,0.0,354.0,Maribyrnong City Council,-37.8212,144.8937,Western Metropolitan,6543.0
13938,Yarraville,66 Drew St,2,h,1256000.0,S,hockingstuart,22/04/2017,7.0,3013.0,2.0,1.0,3.0,531.0,Maribyrnong City Council,-37.8158,144.8707,Western Metropolitan,6543.0
13939,Yarraville,3/11 Fielding St,3,t,1120000.0,S,hockingstuart,22/04/2017,7.0,3013.0,3.0,2.0,0.0,152.0,Maribyrnong City Council,-37.811,144.8889,Western Metropolitan,6543.0
13941,Yarraville,2C Castlemaine St,3,h,1425000.0,PI,Jas,29/04/2017,7.0,3013.0,3.0,3.0,2.0,305.0,Maribyrnong City Council,-37.8149,144.8942,Western Metropolitan,6543.0
13942,Yarraville,40 Kingston St,3,h,872500.0,SP,Jas,29/04/2017,7.0,3013.0,3.0,1.0,2.0,189.0,Maribyrnong City Council,-37.8145,144.8808,Western Metropolitan,6543.0
13943,Yarraville,46 MacKay St,4,h,1455000.0,S,Village,29/04/2017,7.0,3013.0,4.0,1.0,1.0,328.0,Maribyrnong City Council,-37.8097,144.8906,Western Metropolitan,6543.0
13944,Yarraville,12/35 Princess St,1,u,331000.0,S,Jas,29/04/2017,7.0,3013.0,1.0,1.0,1.0,0.0,Maribyrnong City Council,-37.8105,144.8952,Western Metropolitan,6543.0
13945,Yarraville,10 Salisbury St,3,h,950000.0,S,Sweeney,29/04/2017,7.0,3013.0,3.0,2.0,2.0,287.0,Maribyrnong City Council,-37.8233,144.8825,Western Metropolitan,6543.0
13948,Abbotsford,132 Vere St,3,h,1000000.0,SP,Biggin,8/04/2017,2.5,3067.0,3.0,1.0,0.0,198.0,Yarra City Council,-37.8025,144.9939,Northern Metropolitan,4019.0
13952,Abbotsford,6/205 Gipps St,2,u,870000.0,S,Biggin,20/05/2017,2.5,3067.0,2.0,2.0,1.0,0.0,Yarra City Council,-37.8055,144.9961,Northern Metropolitan,4019.0
13955,Abbotsford,24 Cooke St,2,h,1050000.0,S,Jellis,29/04/2017,2.5,3067.0,2.0,1.0,0.0,129.0,Yarra City Council,-37.8099,145.0027,Northern Metropolitan,4019.0
13956,Abbotsford,198 Gipps St,2,h,1242000.0,S,Nelson,29/04/2017,2.5,3067.0,2.0,1.0,1.0,249.0,Yarra City Council,-37.8052,144.9963,Northern Metropolitan,4019.0
13957,Abbotsford,22 Lulie St,3,h,1165000.0,S,Jellis,29/04/2017,2.5,3067.0,3.0,2.0,0.0,92.0,Yarra City Council,-37.797,144.9957,Northern Metropolitan,4019.0
13958,Airport West,48 Bedford St,3,h,872500.0,S,Nelson,8/04/2017,13.5,3042.0,3.0,1.0,1.0,594.0,Moonee Valley City Council,-37.7203,144.8757,Western Metropolitan,3464.0
13959,Airport West,33 Green St,3,h,720000.0,S,Brad,8/04/2017,13.5,3042.0,3.0,2.0,2.0,305.0,Moonee Valley City Council,-37.7284,144.8874,Western Metropolitan,3464.0
13962,Airport West,25 Clydesdale Rd,3,h,985000.0,S,McDonald,29/04/2017,13.5,3042.0,3.0,1.0,1.0,841.0,Moonee Valley City Council,-37.7251,144.8785,Western Metropolitan,3464.0
13963,Airport West,67 Halsey Rd,3,h,510000.0,VB,Nelson,29/04/2017,13.5,3042.0,3.0,1.0,1.0,488.0,Moonee Valley City Council,-37.7191,144.8857,Western Metropolitan,3464.0
13964,Airport West,2/80 Hawker St,2,u,480000.0,VB,Barry,29/04/2017,13.5,3042.0,2.0,1.0,1.0,128.0,Moonee Valley City Council,-37.7216,144.8837,Western Metropolitan,3464.0
13966,Albion,26 Wyalong St,3,h,800000.0,S,Bells,8/04/2017,13.9,3020.0,4.0,2.0,5.0,689.0,Brimbank City Council,-37.7776,144.8167,Western Metropolitan,2185.0
13967,Albion,1/141 Anderson Rd,2,u,420000.0,S,Bells,13/05/2017,13.9,3020.0,2.0,1.0,1.0,192.0,Brimbank City Council,-37.7832,144.8275,Western Metropolitan,2185.0
13968,Albion,76 Forrest St,3,h,700000.0,S,Douglas,13/05/2017,13.9,3020.0,3.0,1.0,2.0,697.0,Brimbank City Council,-37.7841,144.8169,Western Metropolitan,2185.0
13969,Albion,2/36 Selwyn St,3,u,580000.0,PI,Douglas,13/05/2017,13.9,3020.0,3.0,2.0,2.0,250.0,Brimbank City Council,-37.7798,144.8156,Western Metropolitan,2185.0
13970,Albion,1/121 Anderson Rd,1,u,200000.0,VB,FN,20/05/2017,13.9,3020.0,1.0,1.0,1.0,1175.0,Brimbank City Council,-37.7849,144.8272,Western Metropolitan,2185.0
13971,Albion,67 Norwood St,3,h,621000.0,S,hockingstuart,20/05/2017,13.9,3020.0,3.0,1.0,3.0,547.0,Brimbank City Council,-37.7765,144.8123,Western Metropolitan,2185.0
13972,Albion,2/62 Selwyn St,3,u,600000.0,SA,Douglas,20/05/2017,13.9,3020.0,3.0,1.0,1.0,181.0,Brimbank City Council,-37.7815,144.8128,Western Metropolitan,2185.0
13973,Altona,7 Cowra St,3,h,840000.0,SP,hockingstuart,8/04/2017,13.8,3018.0,3.0,1.0,2.0,577.0,Hobsons Bay City Council,-37.864,144.8161,Western Metropolitan,5301.0
13975,Altona,196 Blyth St,5,h,1480000.0,SP,Greg,13/05/2017,13.8,3018.0,5.0,3.0,4.0,725.0,Hobsons Bay City Council,-37.8712,144.8107,Western Metropolitan,5301.0
13977,Altona,2/214 Queen St,2,t,600000.0,SP,hockingstuart,20/05/2017,13.8,3018.0,2.0,1.0,2.0,190.0,Hobsons Bay City Council,-37.8718,144.819,Western Metropolitan,5301.0
13978,Altona,3/8 Rayner St,2,t,597500.0,S,hockingstuart,22/04/2017,13.8,3018.0,2.0,1.0,2.0,178.0,Hobsons Bay City Council,-37.8701,144.8209,Western Metropolitan,5301.0
13980,Altona,12 Kookaburra St,3,h,1165000.0,S,Greg,29/04/2017,13.8,3018.0,3.0,1.0,2.0,700.0,Hobsons Bay City Council,-37.8707,144.8076,Western Metropolitan,5301.0
13981,Altona,13 Linnet St,4,h,1295000.0,S,Greg,29/04/2017,13.8,3018.0,3.0,1.0,2.0,725.0,Hobsons Bay City Council,-37.8678,144.816,Western Metropolitan,5301.0
13982,Ashburton,53 Gloucester Rd,2,h,1450000.0,S,Woodards,8/04/2017,11.0,3147.0,2.0,1.0,1.0,627.0,Boroondara City Council,-37.8689,145.0882,Southern Metropolitan,3052.0
13983,Ashburton,2a Liberator St,2,u,925000.0,S,Jellis,8/04/2017,11.0,3147.0,2.0,1.0,2.0,257.0,Boroondara City Council,-37.866,145.089,Southern Metropolitan,3052.0
13984,Ashburton,23 Solway St,4,h,2220000.0,S,Marshall,13/05/2017,11.0,3147.0,4.0,3.0,2.0,480.0,Boroondara City Council,-37.8726,145.0716,Southern Metropolitan,3052.0
13986,Ashburton,24 Baird St,3,h,1912500.0,S,Jellis,22/04/2017,11.0,3147.0,3.0,2.0,2.0,869.0,Boroondara City Council,-37.8686,145.0721,Southern Metropolitan,3052.0
13989,Ashburton,11 Poulter St,4,h,2085000.0,PI,Buxton,29/04/2017,11.0,3147.0,4.0,2.0,2.0,705.0,Boroondara City Council,-37.8635,145.0895,Southern Metropolitan,3052.0
13992,Balwyn,10A Head St,3,h,1380000.0,S,Barry,8/04/2017,9.7,3103.0,3.0,2.0,1.0,548.0,Boroondara City Council,-37.8021,145.0637,Southern Metropolitan,5682.0
14000,Balwyn,2/15 Pryton Ct,2,u,825000.0,PI,Biggin,20/05/2017,9.7,3103.0,2.0,2.0,2.0,288.0,Boroondara City Council,-37.8078,145.1031,Southern Metropolitan,5682.0
14003,Balwyn,12 Power St,3,h,1670000.0,PI,Fletchers,22/04/2017,9.7,3103.0,3.0,1.0,1.0,534.0,Boroondara City Council,-37.8114,145.0793,Southern Metropolitan,5682.0
14004,Balwyn,27A Yerrin St,3,t,1680000.0,S,Fletchers,22/04/2017,9.7,3103.0,3.0,3.0,1.0,329.0,Boroondara City Council,-37.8101,145.0844,Southern Metropolitan,5682.0
14008,Brooklyn,9 Richards Ct,3,h,750000.0,S,hockingstuart,20/05/2017,10.9,3012.0,3.0,1.0,2.0,667.0,Brimbank City Council,-37.806490380289596,144.99594155790686,Western Metropolitan,962.0
14009,Brooklyn,6 Millers Rd,2,h,1005000.0,S,hockingstuart,22/04/2017,10.9,3012.0,2.0,1.0,2.0,780.0,Brimbank City Council,-37.8241,144.8419,Western Metropolitan,962.0
14010,Carlton,1/2 Drummond St,3,u,1520000.0,S,hockingstuart,8/04/2017,1.8,3053.0,3.0,2.0,2.0,214.0,Melbourne City Council,-37.8177,144.8496,Northern Metropolitan,6786.0
14012,Carlton,2/100 Keppel St,2,t,960000.0,VB,Nelson,20/05/2017,1.8,3053.0,2.0,2.0,1.0,0.0,Melbourne City Council,-37.7947,144.9724,Northern Metropolitan,6786.0
14013,Carlton,11/108 Elgin St,2,u,995000.0,S,Woodards,22/04/2017,1.8,3053.0,2.0,2.0,1.0,0.0,Melbourne City Council,-37.7973,144.9712,Northern Metropolitan,6786.0
14014,Carlton,20/264 Drummond St,1,u,490000.0,S,hockingstuart,29/04/2017,1.8,3053.0,1.0,1.0,1.0,0.0,Melbourne City Council,-37.7998,144.9689,Northern Metropolitan,6786.0
14015,Carlton,10/3 Lytton St,2,u,500000.0,VB,Peter,29/04/2017,1.8,3053.0,2.0,1.0,1.0,4076.0,Melbourne City Council,-37.7941,144.9678,Northern Metropolitan,6786.0
14017,Eaglemont,39 Durham St,4,h,1750000.0,VB,Nelson,20/05/2017,10.3,3084.0,4.0,2.0,2.0,707.0,Banyule City Council,-37.762,145.0645,Eastern Metropolitan,1651.0
14018,Eaglemont,121 The Righi,5,h,2710000.0,PI,Miles,29/04/2017,10.3,3084.0,5.0,3.0,2.0,1001.0,Banyule City Council,-37.7605,145.0593,Eastern Metropolitan,1651.0
14019,East Melbourne,402/166 Wellington Pde,1,u,503000.0,S,Biggin,8/04/2017,1.5,3002.0,1.0,1.0,1.0,0.0,Melbourne City Council,-37.8161,144.9845,Northern Metropolitan,3040.0
14020,East Melbourne,4/24 Hotham St,2,u,810000.0,S,Biggin,13/05/2017,1.5,3002.0,2.0,1.0,1.0,944.0,Melbourne City Council,-37.8144,144.9896,Northern Metropolitan,3040.0
14021,East Melbourne,127 Gipps St,4,h,4275000.0,S,Caine,20/05/2017,1.5,3002.0,4.0,2.0,2.0,326.0,Melbourne City Council,-37.8133,144.9865,Northern Metropolitan,3040.0
14023,Elsternwick,39/2 Gordon St,1,u,385000.0,S,Biggin,8/04/2017,8.5,3185.0,1.0,1.0,1.0,1851.0,Glen Eira City Council,-37.8822,144.9994,Southern Metropolitan,4898.0
14024,Elsternwick,9/39 Horne St,3,t,850000.0,VB,Beller,8/04/2017,8.5,3185.0,3.0,2.0,2.0,114.0,Glen Eira City Council,-37.8857,145.0011,Southern Metropolitan,4898.0
14025,Elsternwick,8/37 Victoria St,2,u,740000.0,SP,Gary,8/04/2017,8.5,3185.0,2.0,1.0,1.0,0.0,Glen Eira City Council,-37.8881,145.0097,Southern Metropolitan,4898.0
14028,Elsternwick,24 Clarence St,3,h,1940000.0,S,Biggin,20/05/2017,8.5,3185.0,3.0,2.0,2.0,439.0,Glen Eira City Council,-37.892,145.0103,Southern Metropolitan,4898.0
14031,Elsternwick,4/34 Horne St,2,u,595000.0,S,Hodges,29/04/2017,8.5,3185.0,2.0,1.0,1.0,0.0,Glen Eira City Council,-37.886,145.0008,Southern Metropolitan,4898.0
14032,Elsternwick,3/33 St Georges Rd,2,u,632500.0,S,Gary,29/04/2017,8.5,3185.0,2.0,1.0,1.0,0.0,Glen Eira City Council,-37.8817,145.0032,Southern Metropolitan,4898.0
14033,Elwood,4/88 Addison St,2,u,687000.0,SP,Biggin,8/04/2017,7.7,3184.0,2.0,1.0,1.0,1912.0,Port Phillip City Council,-37.8795,144.98,Southern Metropolitan,8989.0
14034,Elwood,12/10 Docker St,2,u,1260000.0,S,hockingstuart,8/04/2017,7.7,3184.0,2.0,2.0,2.0,626.0,Port Phillip City Council,-37.8865,144.9874,Southern Metropolitan,8989.0
14036,Elwood,9/457 St Kilda St,2,u,695000.0,S,hockingstuart,8/04/2017,7.7,3184.0,2.0,1.0,1.0,845.0,Port Phillip City Council,-37.8888,144.991,Southern Metropolitan,8989.0
14038,Elwood,8/89 Addison St,3,u,950000.0,S,Whiting,13/05/2017,7.7,3184.0,3.0,1.0,1.0,0.0,Port Phillip City Council,-37.8794,144.9804,Southern Metropolitan,8989.0
14039,Elwood,7/282 Barkly St,1,u,360000.0,S,Biggin,13/05/2017,7.7,3184.0,1.0,1.0,0.0,0.0,Port Phillip City Council,-37.8749,144.9799,Southern Metropolitan,8989.0
14040,Elwood,9 Kendall St,3,h,1875000.0,VB,Chisholm,13/05/2017,7.7,3184.0,3.0,2.0,2.0,270.0,Port Phillip City Council,-37.8805,144.9933,Southern Metropolitan,8989.0
14042,Elwood,6/5 Alfriston St,2,u,642000.0,S,hockingstuart,20/05/2017,7.7,3184.0,2.0,1.0,0.0,0.0,Port Phillip City Council,-37.8753,144.9902,Southern Metropolitan,8989.0
14043,Elwood,23 Byron St,3,h,1520000.0,S,Chisholm,20/05/2017,7.7,3184.0,3.0,2.0,1.0,362.0,Port Phillip City Council,-37.8772,144.9904,Southern Metropolitan,8989.0
14044,Elwood,13 Cyril St,5,h,2275000.0,S,Biggin,20/05/2017,7.7,3184.0,5.0,2.0,1.0,399.0,Port Phillip City Council,-37.8777,144.9915,Southern Metropolitan,8989.0
14045,Elwood,14/125 Ormond Rd,2,u,800000.0,SP,Buxton,20/05/2017,7.7,3184.0,2.0,2.0,2.0,0.0,Port Phillip City Council,-37.8857,144.9884,Southern Metropolitan,8989.0
14047,Elwood,6/53 Tennyson St,2,u,500000.0,SA,Morleys,20/05/2017,7.7,3184.0,2.0,1.0,1.0,0.0,Port Phillip City Council,-37.8777,144.9891,Southern Metropolitan,8989.0
14051,Elwood,102/95 Ormond Rd,1,u,490000.0,VB,McGrath,29/04/2017,7.7,3184.0,1.0,1.0,1.0,0.0,Port Phillip City Council,-37.8852,144.9877,Southern Metropolitan,8989.0
14052,Essendon North,10 Cowper St,4,h,1291000.0,S,Barry,8/04/2017,9.4,3041.0,4.0,2.0,2.0,521.0,Moonee Valley City Council,-37.7372,144.9022,Western Metropolitan,1308.0
14055,Essendon North,3 Madden St,2,t,810000.0,S,Pagan,20/05/2017,9.4,3041.0,2.0,2.0,1.0,175.0,Moonee Valley City Council,-37.7417,144.9079,Western Metropolitan,1308.0
14056,Essendon North,5/15 Bulla Rd,2,u,415500.0,S,Nelson,22/04/2017,9.4,3041.0,2.0,1.0,1.0,82.0,Moonee Valley City Council,-37.743,144.9084,Western Metropolitan,1308.0
14058,Fitzroy,60 Argyle St,2,t,1100000.0,VB,Nelson,8/04/2017,1.6,3065.0,2.0,2.0,1.0,81.0,Yarra City Council,-37.7976,144.9778,Northern Metropolitan,5825.0
14059,Fitzroy,29 Bell St,2,t,1350000.0,S,Nelson,8/04/2017,1.6,3065.0,2.0,1.0,2.0,6261.0,Yarra City Council,-37.799,144.975,Northern Metropolitan,5825.0
14061,Fitzroy,320/416 Gore St,2,u,600000.0,VB,Nelson,8/04/2017,1.6,3065.0,2.0,1.0,1.0,2122.0,Yarra City Council,-37.7967,144.9836,Northern Metropolitan,5825.0
14068,Fitzroy,28 Greeves St,2,h,1350000.0,VB,Jellis,13/05/2017,1.6,3065.0,2.0,1.0,0.0,131.0,Yarra City Council,-37.7999,144.9776,Northern Metropolitan,5825.0
